area_position,region,province,istat,district,year,mounth,interruption_duration,interruption_duration_range,interruption_number,interruption_number_range,dur_number,client_number,altitude,altitude_range,coastal_region,mountain_region,urbanization,opex,opex_generated,capex,capex_generated,sales,ebitda,population_number,coordX,coordY,start_x,start_y
Centro,Campania,Salerno-Sala Consilina,65073,MONTECORVINOROVELLA,2017,12,368126.9163,0,31609.79197,1,0-1,4791,295,3,0,P,2,#N/A,337.9252245,#N/A,10521.06657,#N/A,#N/A,12553,1005909,4521724,0,0
Nord,Emilia Romagna e Marche,Ancona-Macerata,43028,MONTECOSARO,2017,12,138565.8725,0,9431.645076,0,0-0,2964,252,4,0,NM,3,#N/A,874.2853833,#N/A,4570.384873,#N/A,#N/A,6918,875787,4805384,0,0
Nord,Lombardia,Lodi-Cremona,19058,MONTECREMASCO,2017,12,35297.63634,0,1124.455481,0,0-0,926,84,5,0,NM,2,#N/A,5216.863023,#N/A,9771.044938,#N/A,#N/A,2356,544760,5025108,0,0
Nord,Triveneto,Vicenza,24063,MONTEDIMALO,2017,12,71991.49603,0,4814.724724,0,0-0,1357,374,3,0,NM,3,#N/A,1837.003917,#N/A,5089.605088,#N/A,#N/A,2887,684392,5058025,0,0
Nord,Emilia Romagna e Marche,Ascoli Piceno,44034,MONTEDINOVE,2017,12,3908.302586,0,797.0090553,0,0-0,319,561,3,0,T,3,#N/A,7370.191162,#N/A,17082.98079,#N/A,#N/A,505,873543,4768433,0,0
Centro,Campania,Napoli-Pozzuoli,63047,MONTEDIPROCIDA,2017,12,501633.9125,0,57098.78606,1,0-1,4840,63,4,1,NM,1,#N/A,9829.848759,#N/A,25477.31042,#N/A,#N/A,12975,926434,4528781,0,0
Sud,Sicilia,Caltanissetta-Enna,85011,MONTEDORO,2017,12,120987.9032,0,7023.837209,0,0-0,1006,450,3,0,NM,3,#N/A,57566.71363,#N/A,102232.8149,#N/A,#N/A,1643,926889,4156375,0,0
Centro,Campania,Avellino,64053,MONTEFALCIONE,2017,12,81228.88697,0,10529.37024,0,0-0,1489,523,3,0,NM,2,#N/A,10111.22371,#N/A,65538.12815,#N/A,#N/A,3442,995607,4552133,0,0
Centro,Toscana e Umbria,Umbria,54030,MONTEFALCO,2017,12,150563.8434,0,11320.43922,0,0-0,2683,472,3,0,P,3,#N/A,95.98580788,#N/A,3101.739459,#N/A,#N/A,5691,797958,4754173,0,0
Centro,Campania,Benevento,62042,MONTEFALCONEDIVAL,2017,12,58982.49172,0,4588.853516,0,0-0,1084,830,1,0,T,3,#N/A,12927.76425,#N/A,28626.0129,#N/A,#N/A,1650,1004284,4592531,0,0
Centro,Lazio. Abruzzo e Molise,Molise,70043,MONTEFALCONENELSAN,2017,12,29241.59091,0,3326.885386,0,0-0,919,659,1,0,T,3,#N/A,94.69482618,#N/A,274.1023205,#N/A,#N/A,1650,969200,4649421,0,0
Nord,Emilia Romagna e Marche,Ancona-Macerata,43029,MONTEFANO,2017,12,46450.10199,0,4177.206581,0,0-0,1535,242,4,0,NM,3,#N/A,2675.214441,#N/A,10934.72134,#N/A,#N/A,3555,857595,4816181,0,0
Nord,Emilia Romagna e Marche,Pesaro,41034,MONTEFELCINO,2017,12,28889.30655,0,3728.285698,0,0-0,1270,260,3,0,T,3,#N/A,1221.76341,#N/A,9130.467755,#N/A,#N/A,2726,806674,4851657,0,0
Centro,Lazio. Abruzzo e Molise,Pescara-Chieti,69052,MONTEFERRANTE,2017,12,13381.36417,0,2019.030206,0,0-0,181,800,1,0,T,3,#N/A,8564.830172,#N/A,20694.80025,#N/A,#N/A,141,946785,4657173,0,0
Centro,Lazio. Abruzzo e Molise,Viterbo,56036,MONTEFIASCONE,2017,12,179045.7904,0,11833.21587,0,0-0,6975,590,3,0,NM,2,#N/A,2179.708008,#N/A,6700.400488,#N/A,#N/A,13388,747990,4714332,0,0
Centro,Lazio. Abruzzo e Molise,L'Aquila-Teramo,67027,MONTEFINO,2017,12,30350.35688,0,9284.479812,0,0-0,498,352,3,0,T,3,#N/A,40.58773854,#N/A,3442.851295,#N/A,#N/A,1091,901726,4723427,0,0
Nord,Emilia Romagna e Marche,Rimini,99008,MONTEFIORECONCA,2017,12,66148.31236,0,3719.375592,0,0-0,1101,385,4,0,NM,3,#N/A,1365.745562,#N/A,7540.011124,#N/A,#N/A,2195,790621,4865316,0,0
Nord,Emilia Romagna e Marche,Ascoli Piceno,44036,MONTEFIOREDELL'ASO,2017,12,46726.33154,0,5798.400517,0,0-0,1092,412,4,0,NM,3,#N/A,5750.530306,#N/A,20678.63994,#N/A,#N/A,2180,887027,4777355,0,0
Nord,Emilia Romagna e Marche,Reggio Emilia-Modena,36025,MONTEFIORINO,2017,12,92287.5688,0,11776.48819,0,0-0,1831,797,1,0,T,3,#N/A,787.6036024,#N/A,3078.544716,#N/A,#N/A,2253,627348,4911371,0,0
Centro,Lazio. Abruzzo e Molise,Roma Esterna-Rieti,58061,MONTEFLAVIO,2017,12,31101.51053,0,3763.183617,0,0-0,797,800,1,0,T,3,#N/A,341.5684137,#N/A,2249.7815,#N/A,#N/A,1399,817305,4669621,0,0
Centro,Campania,Salerno-Sala Consilina,65074,MONTEFORTECILENTO,2017,12,3380.065279,0,613.0153494,0,0-0,285,600,3,0,T,3,#N/A,43520.82439,#N/A,83000.84338,#N/A,#N/A,565,1025125,4486518,0,0
Nord,Triveneto,Verona,23050,MONTEFORTEDALPONE,2017,12,97433.80772,0,12324.60826,0,0-0,3513,38,3,0,NM,2,#N/A,800.0045062,#N/A,4750.599226,#N/A,#N/A,8410,678933,5034145,0,0
Centro,Campania,Avellino,64054,MONTEFORTEIRPINO,2017,12,402575.8179,0,31856.00792,1,0-1,4469,502,1,0,P,2,#N/A,47427.95003,#N/A,89017.5125,#N/A,#N/A,10878,980765,4543596,0,0
Centro,Toscana e Umbria,Umbria,55019,MONTEFRANCO,2017,12,28872.37231,0,1165.293471,0,0-0,724,375,1,0,T,3,#N/A,4026.253616,#N/A,19981.84157,#N/A,#N/A,1289,807993,4723665,0,0
Centro,Campania,Avellino,64055,MONTEFREDANE,2017,12,55590.95893,0,11216.78498,0,0-0,956,593,3,0,NM,3,#N/A,24827.68075,#N/A,61064.39073,#N/A,#N/A,2308,989773,4550879,0,0
Centro,Campania,Avellino,64056,MONTEFUSCO,2017,12,42095.33593,0,10659.01229,0,0-0,657,705,3,0,T,3,#N/A,16873.66843,#N/A,76825.79395,#N/A,#N/A,1393,992802,4559337,0,0
Centro,Toscana e Umbria,Umbria,55020,MONTEGABBIONE,2017,12,48713.47875,0,1336.961529,0,0-0,771,594,3,0,T,3,#N/A,2212.286574,#N/A,6630.577291,#N/A,#N/A,1235,754779,4755837,0,0
Nord,Triveneto,Vicenza,24064,MONTEGALDA,2017,12,8408.412114,0,4403.820297,0,0-0,1527,28,5,0,NM,3,#N/A,846.6416066,#N/A,1719.295712,#N/A,#N/A,3343,708335,5037798,0,0
Nord,Triveneto,Vicenza,24065,MONTEGALDELLA,2017,12,24674.80832,0,1814.097749,0,0-0,747,23,5,0,NM,3,#N/A,641.8283878,#N/A,1530.915843,#N/A,#N/A,1788,707416,5035055,0,0
